point_id,point_name,category,location,description,status,status_label,photo_count,has_notes,last_updated,elevator_model,equipment_type,inspector,last_maintenance,next_check,pressure_mpa,pump_status,service_company,notes_count,notes
P001,高压配电室巡检,电气设备,1号厂房一层,高压配电室日常巡检，温度25°C，湿度60%,confirmed,已确认,2,是,2026-06-19 01:20:31,,变压器,张三,2026-03-15,,,,,3,[2026-06-19 01:18] (user) 设备运行正常 | [2026-06-19 01:18] (user) 第二次巡检确认 | [2026-06-19 01:20] (user) 设备运行正常
P002,消防栓检查,消防安全,1号厂房二层,消防栓压力检查，压力值0.8MPa，正常范围,to_rephoto,待补拍,1,是,2026-06-19 01:20:33,,,李四,,2026-07-01,0.8,,,2,[2026-06-19 01:18] (user) 照片模糊需要重拍 | [2026-06-19 01:20] (user) 照片模糊
P003,电梯机房,特种设备,2号厂房顶层,电梯机房季度巡检，油位正常，无异常噪音,ignored,忽略,1,是,2026-06-19 01:18:55,XYZ-2000,,王五,,,,,电梯维保A公司,1,[2026-06-19 01:18] (user) 该点位已拆除
P004,应急照明测试,消防安全,各楼层,月度测试,pending,待处理,1,否,2026-06-19 01:18:32,,,,,,,,,0,
P005,水泵房检查,给排水,地下一层,水泵运行电流20A，出口压力0.6MPa,pending,待处理,1,否,2026-06-19 01:18:32,,,赵六,,,,normal,,0,
P006,发电机房,电气设备,地下一层,备用电源检查,pending,待处理,1,否,2026-06-19 01:18:32,,,,,,,,,0,
P007,门禁系统检查,安保,主入口,读卡器正常,pending,待处理,1,否,2026-06-19 01:18:32,,,,,,,,,0,
P008,监控摄像头,安保,各区域,画面清晰,pending,待处理,1,否,2026-06-19 01:18:32,,,,,,,,,0,
P009,防雷接地检测,电气安全,屋面,接地电阻合格,pending,待处理,0,否,2026-06-19 01:18:32,,,,,,,,,0,
P010,灭火器检查,消防安全,各楼层,有效期内,pending,待处理,0,否,2026-06-19 01:18:32,,,,,,,,,0,
